Book,Author(s),Original language,First published,Approximate sales in millions
The Lost Symbol,Dan Brown,English,2009,30
Where the Crawdads Sing,Delia Owens,English,2018,18
A Promised Land,Barack Obama,English,2020,9
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,English,2018,10
Becoming,Mishelle Obama,English,2018,10
"Fifty Shades Of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades Of Grey Series, 1)",E.L.James,English,2011,150
First 100 Words: A Padded Board Book,Roger Priddy,English,2015,20
"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",J.K. Rowling,English,2016,110
Steve Jobs,Walter Isaacson,English,2011,12
StrengthsFinder 2.0,Gallup,English,2007,170
The Girl Who Kicked the Hornet's Nest,Stieg Larsson,English,2007,100
Wonder,R. J. Palacio,English,2020,15
